id,name,short_description,description,slug,available_on,created_at,updated_at,deleted_at,variant_selection_method,option_color,option_size,categories
1,Et sed dolorem expedita et.,Quisquam illo rerum corrupti corrupti quis consequatur.,Vero vero error aut sequi culpa. Accusamus eos occaecati consequatur quia dolorem ab.,Et sed dolorem expedita et.,7/29/1985 10:24,8/27/1985 15:11,2/5/1975 2:39,9/27/1994 4:32,nilead_match,Magnam eius voluptatum.;Ad incidunt voluptatum.;Non.;Blanditiis.;Perferendis blanditiis consectetur maiores.,Et provident iure non.;Qui.;Et ullam tempore blanditiis voluptas.;Quisquam.;Voluptas placeat.,Voluptates a.;Ut voluptatibus labore et velit.;Cum necessitatibus commodi nisi vero enim voluptas.;Itaque debitis sequi laboriosam.;Occaecati maxime delectus quis velit velit.
2,Accusantium dolores velit qui qui fugit veniam quaerat.,Est quaerat voluptatem voluptatem molestiae est. Facilis dolorem voluptates consequuntur id.,Autem et magni rerum corporis fuga. Delectus laboriosam numquam expedita est.,Accusantium dolores velit qui qui fugit veniam quaerat.,7/31/1982 6:49,5/4/2000 1:37,12/30/2011 3:08,5/16/1979 15:13,nilead_match,Et nemo.;Quam mollitia.;Ea quia.;Cupiditate sed ad.;Quaerat eum.,Voluptatem ipsam pariatur.;A suscipit eos non at.;Laboriosam illum sit.;Est velit numquam.;Labore eum est.,Et doloribus voluptatem iusto voluptatem.
3,Voluptatem voluptates odio.,Voluptatem natus ut illo maiores provident occaecati inventore.,Fugit ut quaerat voluptatum rerum fuga minus soluta. Voluptatem soluta non et consequatur.,Voluptatem voluptates odio.,10/22/1995 13:15,6/24/1975 3:55,7/23/1971 10:28,12/30/1972 3:43,nilead_match,Quidem.;Ut sed.,Distinctio occaecati.;Veritatis fugit ducimus.,Consequatur sapiente ut impedit.
4,Hic accusamus magni ut ut aperiam modi adipisci doloribus rem.,Quod est commodi nihil facere nostrum optio nisi officia. Aliquam maiores saepe dolores doloremque dolor commodi.,Maxime suscipit aspernatur odio sunt ea. Nostrum itaque qui nulla.,Hic accusamus magni ut ut aperiam modi adipisci doloribus rem.,11/27/1993 7:28,6/1/2006 7:26,3/4/2012 17:10,9/28/1987 14:27,nilead_match,Omnis sed.;Animi autem.,Esse asperiores.;Cumque reprehenderit.,Voluptas tempora iusto.;Dolorem nulla dicta.;Laborum odit ipsam.;Rem at ut suscipit maiores.;Tenetur et vitae aut.
5,Et qui voluptas.,Consequatur aut qui accusantium aspernatur. Cum vero repellat nesciunt debitis.,Eligendi sed et non molestias architecto repudiandae ad. Excepturi at assumenda et laboriosam.,Et qui voluptas.,11/21/1987 20:40,11/25/2000 1:00,9/7/1980 4:36,2/1/1985 16:46,nilead_match,Eum qui ducimus.;Quasi molestiae autem consequatur.;Numquam quia nihil velit.;Aspernatur hic.;Voluptas totam.;Eveniet quo rerum.,Eum rerum.;Qui voluptas laudantium rerum.;Molestias.;Sunt qui.;Accusamus.;Ut dolor laborum eum.,Nihil odit veniam nisi.
6,Ab rerum debitis ipsum.,Quia sapiente vero blanditiis et ut quo. Neque omnis vero non architecto eos tenetur.,Ut molestiae eum voluptatum. Ipsum doloremque quia molestiae soluta cumque ea corrupti.,Ab rerum debitis ipsum.,6/15/1971 21:07,4/27/2012 5:59,2/27/2012 1:08,1/12/1976 16:43,nilead_match,Velit illo soluta.;Enim nihil velit et.;Dolorum earum quia.;Voluptatem aut.;Est incidunt unde.;Dolor commodi quia.;Inventore.;Repellat nostrum occaecati expedita.,Dolorem consequatur.;Aspernatur aut.;Nostrum blanditiis nobis dicta.;Laboriosam vel temporibus.;Repudiandae cumque ut.;Velit excepturi dolor excepturi sapiente.;Corrupti consequatur rem veniam.;Deleniti praesentium.,Blanditiis tenetur.
7,Cupiditate dignissimos qui vel pariatur molestias.,Fugiat asperiores officiis et hic.,Ipsa veniam autem velit magnam consequatur ut. Ipsam molestiae sit hic.,Cupiditate dignissimos qui vel pariatur molestias.,12/21/2003 2:28,4/28/1979 23:00,8/5/1995 21:03,6/26/1991 13:11,nilead_match,Dolores aut.;Porro vel.;Temporibus quidem qui.;Cumque quas nam.;Adipisci voluptatem.;Voluptas dolores aspernatur.;Et reiciendis ex.;Numquam.,Et et deleniti.;Ipsum.;Laborum error.;Delectus qui.;Rerum dolorem et.;Earum et.;Amet.;Consequatur quas aliquam.,Quisquam veniam quo quia in neque.;Voluptas eaque nostrum vero.
8,Sit libero expedita culpa necessitatibus.,Rem repudiandae voluptatem beatae molestias nesciunt.,Est non accusamus voluptatem officia. Dolorem consequatur nam beatae labore voluptatem vel eveniet sunt.,Sit libero expedita culpa necessitatibus.,1/7/2003 23:31,11/12/1977 23:52,2/25/1995 1:33,5/25/2007 9:58,nilead_match,Eveniet asperiores unde.;Et mollitia ut ut.;Et ut atque aspernatur.;Dolor necessitatibus.;Pariatur delectus voluptas.;Odit voluptatem consectetur similique.;Aut provident nihil.;Commodi quis velit.,Ab esse delectus sapiente.;Libero quaerat ea repellendus.;Qui et tempora dolorem.;Eius facilis vero vero nihil.;Ipsum vel.;Rem nihil.;Nam et.;Explicabo omnis distinctio ducimus.,Error magnam qui unde id neque.
9,Ut sed soluta alias repellendus.,Qui inventore voluptas amet aliquam. Quaerat quis expedita quo ut autem autem.,Impedit natus minus est quis. Quo unde ea voluptatem.,Ut sed soluta alias repellendus.,9/17/2004 3:45,3/15/1986 21:40,10/1/2001 18:03,7/7/1972 10:15,nilead_match,Aut assumenda.;Adipisci adipisci quis.;Qui.;Cupiditate architecto vero doloremque.;Rerum quia nam est.;Omnis voluptatem.,Quia eius dolores.;Rerum rerum.;Aut deleniti.;Voluptate vitae.;Quae beatae commodi dolorem.;Rerum impedit sunt dignissimos.,Et vitae magni.;Qui repudiandae illum et velit fugiat.;Id vero non labore.;Et sit.;Est alias nobis excepturi.
10,Illo laboriosam esse qui aut odit ipsa.,Debitis dolorem deleniti tempora adipisci. Omnis magnam commodi voluptatum ullam doloremque voluptatem.,Perferendis ut deleniti quas maiores beatae.,Illo laboriosam esse qui aut odit ipsa.,1/7/2010 5:23,5/18/2011 17:28,7/23/1990 15:51,12/31/1982 3:57,nilead_match,Ratione.;Repellat vel.;Reprehenderit natus.;Labore ut.;A iste veniam.;Voluptas eos minima eos.;Ipsa tempore.,Laboriosam.;Distinctio perspiciatis qui.;Aut.;Nulla ipsam.;Non id aliquam cupiditate officiis.;Alias molestiae voluptates.;Fugiat enim odio.,Molestias est sequi.;Et numquam aut sed.
